202442,2024-25,Influenza Hospital Admissions Rate Per 100k,9,HHS Region,0.2
202442,2024-25,Influenza Hospital Admissions Rate Per 100k,10,HHS Region,0.1
202443,2024-25,Influenza Hospital Admissions Rate Per 100k,1,HHS Region,0.0
202443,2024-25,Influenza Hospital Admissions Rate Per 100k,2,HHS Region,0.1
202443,2024-25,Influenza Hospital Admissions Rate Per 100k,3,HHS Region,0.2
202443,2024-25,Influenza Hospital Admissions Rate Per 100k,4,HHS Region,0.3
202443,2024-25,Influenza Hospital Admissions Rate Per 100k,5,HHS Region,0.5
202443,2024-25,Influenza Hospital Admissions Rate Per 100k,6,HHS Region,0.2
202443,2024-25,Influenza Hospital Admissions Rate Per 100k,7,HHS Region,0.1
202443,2024-25,Influenza Hospital Admissions Rate Per 100k,8,HHS Region,0.2
202443,2024-25,Influenza Hospital Admissions Rate Per 100k,9,HHS Region,0.7
202443,2024-25,Influenza Hospital Admissions Rate Per 100k,10,HHS Region,0.1
202444,2024-25,Influenza Hospital Admissions Rate Per 100k,1,HHS Region,0.1
202444,2024-25,Influenza Hospital Admissions Rate Per 100k,2,HHS Region,0.2
202444,2024-25,Influenza Hospital Admissions Rate Per 100k,3,HHS Region,0.4
202444,2024-25,Influenza Hospital Admissions Rate Per 100k,4,HHS Region,0.3
202444,2024-25,Influenza Hospital Admissions Rate Per 100k,5,HHS Region,0.1
202444,2024-25,Influenza Hospital Admissions Rate Per 100k,6,HHS Region,0.3
202444,2024-25,Influenza Hospital Admissions Rate Per 100k,7,HHS Region,0.2
202444,2024-25,Influenza Hospital Admissions Rate Per 100k,8,HHS Region,0.2
202444,2024-25,Influenza Hospital Admissions Rate Per 100k,9,HHS Region,0.5
202444,2024-25,Influenza Hospital Admissions Rate Per 100k,10,HHS Region,0.2
202445,2024-25,Influenza Hospital Admissions Rate Per 100k,1,HHS Region,0.3
202445,2024-25,Influenza Hospital Admissions Rate Per 100k,2,HHS Region,0.4
202445,2024-25,Influenza Hospital Admissions Rate Per 100k,3,HHS Region,0.6
202445,2024-25,Influenza Hospital Admissions Rate Per 100k,4,HHS Region,0.9
202445,2024-25,Influenza Hospital Admissions Rate Per 100k,5,HHS Region,0.3
202445,2024-25,Influenza Hospital Admissions Rate Per 100k,6,HHS Region,0.7
202445,2024-25,Influenza Hospital Admissions Rate Per 100k,7,HHS Region,0.3
202445,2024-25,Influenza Hospital Admissions Rate Per 100k,8,HHS Region,0.3
202445,2024-25,Influenza Hospital Admissions Rate Per 100k,9,HHS Region,0.9
202445,2024-25,Influenza Hospital Admissions Rate Per 100k,10,HHS Region,0.4
202446,2024-25,Influenza Hospital Admissions Rate Per 100k,1,HHS Region,0.2
202446,2024-25,Influenza Hospital Admissions Rate Per 100k,2,HHS Region,0.5
202446,2024-25,Influenza Hospital Admissions Rate Per 100k,3,HHS Region,0.5
202446,2024-25,Influenza Hospital Admissions Rate Per 100k,4,HHS Region,0.9
202446,2024-25,Influenza Hospital Admissions Rate Per 100k,5,HHS Region,0.3
202446,2024-25,Influenza Hospital Admissions Rate Per 100k,6,HHS Region,0.8
202446,2024-25,Influenza Hospital Admissions Rate Per 100k,7,HHS Region,0.4
202446,2024-25,Influenza Hospital Admissions Rate Per 100k,8,HHS Region,0.4
202446,2024-25,Influenza Hospital Admissions Rate Per 100k,9,HHS Region,1.4
202446,2024-25,Influenza Hospital Admissions Rate Per 100k,10,HHS Region,0.5
202447,2024-25,Influenza Hospital Admissions Rate Per 100k,1,HHS Region,0.4
202447,2024-25,Influenza Hospital Admissions Rate Per 100k,2,HHS Region,0.6
202447,2024-25,Influenza Hospital Admissions Rate Per 100k,3,HHS Region,0.7
202447,2024-25,Influenza Hospital Admissions Rate Per 100k,4,HHS Region,1.0
202447,2024-25,Influenza Hospital Admissions Rate Per 100k,5,HHS Region,0.5
202447,2024-25,Influenza Hospital Admissions Rate Per 100k,6,HHS Region,0.9
202447,2024-25,Influenza Hospital Admissions Rate Per 100k,7,HHS Region,0.5
202447,2024-25,Influenza Hospital Admissions Rate Per 100k,8,HHS Region,0.5
202447,2024-25,Influenza Hospital Admissions Rate Per 100k,9,HHS Region,2.1
202447,2024-25,Influenza Hospital Admissions Rate Per 100k,10,HHS Region,0.9
